NAICS,Purchases from,In-region Purchases,% In-region Purchases,Imported Purchases,% Imported Purchases,Total Purchases,Cluster Name,Cluster ID,SBDC Region
331110,Iron and Steel Mills and Ferroalloy Manufacturing,5344987.645,0.026975881,192794513.2,0.973024119,198139500.8,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336510,Railroad Rolling Stock Manufacturing,91322528.78,0.891476479,11117110.29,0.108523521,102439639.1,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
551114,"Corporate, Subsidiary, and Regional Managing Offices",18374751.17,0.251158003,54785375.02,0.748841997,73160126.2,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336360,Motor Vehicle Seating and Interior Trim Manufacturing,16582647.37,0.330583272,33579138.72,0.669416728,50161786.09,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336390,Other Motor Vehicle Parts Manufacturing,31041227.37,0.694343707,13664625.15,0.305656293,44705852.52,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,3690650.803,0.107153699,30751938.08,0.892846301,34442588.88,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),4131543.656,0.125469315,28797174.14,0.874530685,32928717.8,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336370,Motor Vehicle Metal Stamping,18847754.43,0.595992049,12776416.51,0.404007951,31624170.94,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326199,All Other Plastics Product Manufacturing,4253221.015,0.138863874,26375486.79,0.861136126,30628707.8,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,3321057.59,0.110490452,26736359.39,0.889509548,30057416.98,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332114,Custom Roll Forming,0.0,0.0,28748565.98,1.0,28748565.98,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331511,Iron Foundries,8203859.145,0.304156633,18768622.3,0.695843367,26972481.44,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332710,Machine Shops,2640168.026,0.108563416,21678963.85,0.891436584,24319131.87,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423830,Industrial Machinery and Equipment Merchant Wholesalers,6235626.655,0.275469135,16400762.95,0.724530865,22636389.6,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",2722419.224,0.137348415,17098844.92,0.862651585,19821264.15,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332721,Precision Turned Product Manufacturing,4806139.128,0.245713397,14753800.14,0.754286603,19559939.27,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
